Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1156.txt` opened OK.
CSV File `./LogFiles/Log20200210_1156.csv` opened OK.
20200210_115630,1.505262,Information,3,1,1,0,In MC Loop, Realsense, Idx=58, Coord=[-361.547974, 231.878662, 424.600037], FinalFingerPos=[-431.600037, -356.467974, -230.378662], Midi=[None]
20200210_115630,1.505278,Information,3,1,1,0,In MC Loop, Realsense, Idx=59, Coord=[-366.360901, 236.247543, 432.600037], FinalFingerPos=[-439.600037, -361.280901, -234.747543], Midi=[None]
20200210_115630,1.505293,Information,3,1,1,0,In MC Loop, Realsense, Idx=60, Coord=[-373.710907, 242.309387, 443.700012], FinalFingerPos=[-450.700012, -368.630907, -240.809387], Midi=[None]
20200210_115630,1.505309,Information,3,1,1,0,In MC Loop, Realsense, Idx=61, Coord=[-355.076538, 229.655197, 417.000000], FinalFingerPos=[-424.000000, -349.996538, -228.155197], Midi=[None]
20200210_115630,1.505325,Information,3,1,1,0,In MC Loop, Realsense, Idx=62, Coord=[-359.585846, 233.840775, 424.600037], FinalFingerPos=[-431.600037, -354.505846, -232.340775], Midi=[None]
20200210_115630,1.505362,DEBUG!,3,1,1,0,======================
20200210_115630,1.505381,Information,3,1,1,0,At begining of Master Control's loop
20200210_115630,1.505393,DEBUG!,3,1,1,0,======================
20200210_115630,1.505401,DEBUG!,3,1,1,0,Keyboard Resetting keys played
20200210_115630,1.505410,DEBUG!,3,1,1,0,In Realsense GetPointCloud
20200210_115630,1.505418,DEBUG!,3,1,1,0,Never leaving Realsense GetPointCloud
20200210_115630,1.546155,Information,3,1,1,0,In MC Loop, Realsense, Idx=0, Coord=[-605.901550, 358.740448, 752.400024], FinalFingerPos=[-759.400024, -600.821550, -357.240448], Midi=[None]
20200210_115630,1.546181,Information,3,1,1,0,In MC Loop, Realsense, Idx=1, Coord=[-589.613953, 351.111755, 736.400024], FinalFingerPos=[-743.400024, -584.533953, -349.611755], Midi=[None]
20200210_115630,1.546201,Information,3,1,1,0,In MC Loop, Realsense, Idx=2, Coord=[-580.001770, 347.392731, 728.600037], FinalFingerPos=[-735.600037, -574.921770, -345.892731], Midi=[None]
20200210_115630,1.546221,Information,3,1,1,0,In MC Loop, Realsense, Idx=3, Coord=[-570.620056, 343.769104, 721.000061], FinalFingerPos=[-728.000061, -565.540056, -342.269104], Midi=[None]
20200210_115630,1.546241,Information,3,1,1,0,In MC Loop, Realsense, Idx=4, Coord=[-493.754059, 302.764740, 635.000061], FinalFingerPos=[-642.000061, -488.674059, -301.264740], Midi=[None]
20200210_115630,1.546260,Information,3,1,1,0,In MC Loop, Realsense, Idx=5, Coord=[6.628892, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 11.708892, -14.138871], Midi=[None]
20200210_115630,1.546280,Information,3,1,1,0,In MC Loop, Realsense, Idx=6, Coord=[6.780463, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.138871], Midi=[None]
20200210_115630,1.546299,Information,3,1,1,0,In MC Loop, Realsense, Idx=7, Coord=[6.932034, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.012034, -14.138871], Midi=[None]
20200210_115630,1.546318,Information,3,1,1,0,In MC Loop, Realsense, Idx=8, Coord=[7.083605, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.163605, -14.138871], Midi=[None]
20200210_115630,1.546338,Information,3,1,1,0,In MC Loop, Realsense, Idx=9, Coord=[7.235177, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.315177, -14.138871], Midi=[None]
20200210_115630,1.546357,Information,3,1,1,0,In MC Loop, Realsense, Idx=10, Coord=[-583.368713, 350.759613, 728.600037], FinalFingerPos=[-735.600037, -578.288713, -349.259613], Midi=[None]
20200210_115630,1.546377,Information,3,1,1,0,In MC Loop, Realsense, Idx=11, Coord=[-573.951843, 347.100891, 721.000061], FinalFingerPos=[-728.000061, -568.871843, -345.600891], Midi=[None]
20200210_115630,1.546396,Information,3,1,1,0,In MC Loop, Realsense, Idx=12, Coord=[-558.986023, 340.024078, 706.300049], FinalFingerPos=[-713.300049, -553.906023, -338.524078], Midi=[None]
20200210_115630,1.546415,Information,3,1,1,0,In MC Loop, Realsense, Idx=13, Coord=[-489.321960, 302.955017, 629.300049], FinalFingerPos=[-636.300049, -484.241960, -301.455017], Midi=[None]
20200210_115630,1.546435,Information,3,1,1,0,In MC Loop, Realsense, Idx=14, Coord=[-490.819702, 305.699097, 635.000061], FinalFingerPos=[-642.000061, -485.739702, -304.199097], Midi=[None]
20200210_115630,1.546454,Information,3,1,1,0,In MC Loop, Realsense, Idx=15, Coord=[6.628892, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 11.708892, -14.290442], Midi=[None]
20200210_115630,1.546473,Information,3,1,1,0,In MC Loop, Realsense, Idx=16, Coord=[6.780463, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.290442], Midi=[None]
20200210_115630,1.546493,Information,3,1,1,0,In MC Loop, Realsense, Idx=17, Coord=[6.932034, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.012034, -14.290442], Midi=[None]
20200210_115630,1.546512,Information,3,1,1,0,In MC Loop, Realsense, Idx=18, Coord=[7.083605, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.163605, -14.290442], Midi=[None]
20200210_115630,1.546531,Information,3,1,1,0,In MC Loop, Realsense, Idx=19, Coord=[7.235177, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.315177, -14.290442], Midi=[None]
20200210_115630,1.546550,Information,3,1,1,0,In MC Loop, Realsense, Idx=20, Coord=[-577.283691, 350.432678, 721.000061], FinalFingerPos=[-728.000061, -572.203691, -348.932678], Midi=[None]
20200210_115630,1.546570,Information,3,1,1,0,In MC Loop, Realsense, Idx=21, Coord=[-556.597961, 339.837036, 699.200012], FinalFingerPos=[-706.200012, -551.517961, -338.337036], Midi=[None]
20200210_115630,1.546589,Information,3,1,1,0,In MC Loop, Realsense, Idx=22, Coord=[-542.366028, 333.081116, 685.299988], FinalFingerPos=[-692.299988, -537.286028, -331.581116], Midi=[None]
20200210_115630,1.546608,Information,3,1,1,0,In MC Loop, Realsense, Idx=23, Coord=[-513.785339, 317.382141, 653.000000], FinalFingerPos=[-660.000000, -508.705339, -315.882141], Midi=[None]
20200210_115630,1.546628,Information,3,1,1,0,In MC Loop, Realsense, Idx=24, Coord=[-489.321960, 305.863068, 629.300049], FinalFingerPos=[-636.300049, -484.241960, -304.363068], Midi=[None]
20200210_115630,1.546647,Information,3,1,1,0,In MC Loop, Realsense, Idx=25, Coord=[-486.413910, 305.863068, 629.300049], FinalFingerPos=[-636.300049, -481.333910, -304.363068], Midi=[None]
20200210_115630,1.546666,Information,3,1,1,0,In MC Loop, Realsense, Idx=26, Coord=[6.780463, 15.942013, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.442013], Midi=[None]
20200210_115630,1.546686,Information,3,1,1,0,In MC Loop, Realsense, Idx=27, Coord=[-531.840027, 329.722198, 672.000000], FinalFingerPos=[-679.000000, -526.760027, -328.222198], Midi=[None]
20200210_115630,1.546705,Information,3,1,1,0,In MC Loop, Realsense, Idx=28, Coord=[-499.622833, 311.567841, 635.000061], FinalFingerPos=[-642.000061, -494.542833, -310.067841], Midi=[None]
20200210_115630,1.546724,Information,3,1,1,0,In MC Loop, Realsense, Idx=29, Coord=[-484.889801, 305.974335, 623.599976], FinalFingerPos=[-630.599976, -479.809801, -304.474335], Midi=[None]
20200210_115630,1.546744,Information,3,1,1,0,In MC Loop, Realsense, Idx=30, Coord=[-482.008087, 305.974335, 623.599976], FinalFingerPos=[-630.599976, -476.928087, -304.474335], Midi=[None]
20200210_115630,1.546763,Information,3,1,1,0,In MC Loop, Realsense, Idx=31, Coord=[17.366444, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.098083], Midi=[None]
20200210_115630,1.546782,Information,3,1,1,0,In MC Loop, Realsense, Idx=32, Coord=[17.543892, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.623892, -8.098083], Midi=[None]
20200210_115630,1.546802,Information,3,1,1,0,In MC Loop, Realsense, Idx=33, Coord=[17.632618, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.712618, -8.098083], Midi=[None]
20200210_115630,1.546821,Information,3,1,1,0,In MC Loop, Realsense, Idx=34, Coord=[17.100269, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.180269, -8.186807], Midi=[None]
20200210_115630,1.546840,Information,3,1,1,0,In MC Loop, Realsense, Idx=35, Coord=[17.188995, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.186807], Midi=[None]
20200210_115630,1.546859,Information,3,1,1,0,In MC Loop, Realsense, Idx=36, Coord=[17.277719, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.186807], Midi=[None]
20200210_115630,1.546878,Information,3,1,1,0,In MC Loop, Realsense, Idx=37, Coord=[17.366444, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.186807], Midi=[None]
